VGNKennung;VAGKennung;Haltestellenname;Ort;longitude;latitude;GlobalID;Betriebszweig;Dataprovider
1259;DORTMU;Dortmunder Straße;Nürnberg;110257779;492802583;de:9564:1259:0:1;B;VAG
1259;DORTMU;Dortmunder Straße;Nürnberg;110258318;492801855;de:9564:1259:0:2;B;VAG
1260;GGNO;Großgründlach Nord;Nürnberg;110106996;493151895;de:9564:1260:3:1;B;VAG
1260;GGNO;Großgründlach Nord;Nürnberg;110106178;493152925;de:9564:1260:3:2;B;VAG
1261;HANSEN;Hansengarten;Nürnberg;110111383;493136459;de:9564:1261:0:1;B;VAG
1262;QUELLW;Quellweg;Nürnberg;110050399;493137737;de:9564:1262:0:1;B;VAG
1263;GROSGM;Großgründlach Mitte;Nürnberg;110040395;493137902;de:9564:1263:0:1;B;VAG
1263;GROSGM;Großgründlach Mitte;Nürnberg;110039547;493137572;de:9564:1263:0:2;B;VAG
1264;SCHULE;Großgründlach Schule;Nürnberg;110049620;493149437;de:9564:1264:0:1;B;VAG
1265;GROSGH;Großgründl. Hauptst.;Nürnberg;110039300;493144466;de:9564:1265:0:1;B;VAG
1265;GROSGH;Großgründl. Hauptst.;Nürnberg;110039300;493144466;de:9564:1265:0:2;B;VAG
1266;AM-STE;Am Steig;Nürnberg;110028980;493129154;de:9564:1266:0:1;B;VAG
1266;AM-STE;Am Steig;Nürnberg;110027882;493128462;de:9564:1266:0:2;B;VAG
1266;AM-STE;Am Steig;Nürnberg;110028955;493129250;de:9564:1266:0:3;B;VAG
1266;AM-STE;Am Steig;Nürnberg;110027767;493128659;de:9564:1266:0:4;B;VAG
1267;SCHMAL;Schmalau;Nürnberg;110021838;493101866;de:9564:1267:0:1;B;VAG
1267;SCHMAL;Schmalau;Nürnberg;110021509;493059532;de:9564:1267:0:2;B;VAG
1268;STEINA;Steinacher Straße;Nürnberg;110022381;493046293;de:9564:1268:0:1;B;VAG
1268;STEINA;Steinacher Straße;Nürnberg;110021838;493046019;de:9564:1268:0:2;B;VAG
1269;BOXBER;Boxbergweg;Nürnberg;110055618;493054657;de:9564:1269:0:1;B;VAG
1269;BOXBER;Boxbergweg;Nürnberg;110053458;493053640;de:9564:1269:0:2;B;VAG
1270;ERICH-;Erich-Ollenhauer-Str;Nürnberg;110132099;493059133;de:9564:1270:0:1;B;VAG
1270;ERICH-;Erich-Ollenhauer-Str;Nürnberg;110130005;493058406;de:9564:1270:0:2;B;VAG
1270;ERICH-;Erich-Ollenhauer-Str;Nürnberg;110129532;493059302;de:9564:1270:0:3;B;VAG
1271;BOXD;Boxdorf;Nürnberg;110201824;493052668;de:9564:1271:0:1;B;VAG
1271;BOXD;Boxdorf;Nürnberg;110159808;493055008;de:9564:1271:0:2;B;VAG
1271;BOXD;Boxdorf;Nürnberg;110155740;493052380;de:9564:1271:0:3;B;VAG
